scenario_id,site_id,pgv_cm_s
scripps-loh-map-1,zen-01171b74-0f22-45a2-9a92-6cb104a392c4,1.242246
scripps-loh-map-1,zen-011a132d-27c5-4c63-a2b3-16e87f153c78,0.995935
scripps-loh-map-1,zen-011a959a-d6ec-489c-ae28-49d3271404b1,1.190122
scripps-loh-map-1,zen-011dbade-987b-47b2-9cce-f504e9d4bf93,0.857085
scripps-loh-map-1,zen-01230f17-6c62-413e-b184-0d923d1fec12,0.857085
scripps-loh-map-1,zen-01350f02-ef06-4efc-82f4-5bf7d58a7283,1.190122
scripps-loh-map-1,zen-013f85f9-4203-419e-aeb2-a2d5dcc77290,0.931036
scripps-loh-map-1,zen-0156004a-77f5-49b2-b717-fe7d82adbe41,0.879811
scripps-loh-map-1,zen-015931a0-bf66-485d-9109-5f97828b04e0,0.857085
scripps-loh-map-1,zen-015e4e1d-2301-4ebc-9c31-e1b0ab56ebe5,0.927013
scripps-loh-map-1,zen-016452dd-e3a0-4af8-a1e9-a14f929548d9,0.857085
scripps-loh-map-1,zen-0167c501-f312-4d57-af9d-f009e9cd44ff,0.879811
scripps-loh-map-1,zen-016a3945-e554-49db-8315-b48d92e85b7f,1.190122
scripps-loh-map-1,zen-01706c72-3659-491c-aa14-5776d4da56a6,1.190122
scripps-loh-map-1,zen-01761413-8ac5-4142-b783-38fc0a65c86b,0.879811
scripps-loh-map-1,zen-017e3d26-fb9e-4e4e-aca7-e3f975ba3bdc,0.838449
scripps-loh-map-1,zen-117cf524-1dd0-447f-a9c0-1f164b59d3ba,1.242246
scripps-loh-map-1,zen-0188f33f-9588-4d7c-814c-09f544cd4ff5,0.927013
scripps-loh-map-1,zen-01a18a39-4356-4a2b-a44c-b7488214afd5,0.879811
scripps-loh-map-1,zen-01aae396-696e-494b-9899-c17e4ebbb0ff,0.879811
scripps-loh-map-1,zen-01ac34af-12d2-4f47-a16f-ac1654cb91ff,0.800396
scripps-loh-map-1,zen-01ac6a2b-7361-4920-9578-edadfb75711e,0.879811
scripps-loh-map-1,zen-01b0c72f-f89e-4096-87df-4d2a1ef443e0,0.903718
scripps-loh-map-1,zen-01b98bf2-bde2-46a2-9713-ce6fd6a6aaa6,1.242246
scripps-loh-map-1,zen-2e10f753-57bd-4a64-8961-c6a099d6e67e,1.193205
scripps-loh-map-1,zen-01c22705-a579-4e46-9765-0d24476f6037,0.819199
scripps-loh-map-1,zen-01caa723-d349-4905-90ab-0e4507ba0ccd,0.857085
scripps-loh-map-1,zen-01cd1f27-5c05-433f-8af8-e88f997dceb6,1.190122
scripps-loh-map-1,zen-01dfda52-3a3c-4c5b-9ff2-ffabab57f331,0.857085
scripps-loh-map-1,zen-01e74b0e-437a-4097-b25b-d72df3c90170,0.957541
scripps-loh-map-1,zen-02056e6d-6484-4bf7-ae83-e8ac02421979,1.193205
scripps-loh-map-1,zen-0205d68d-ccf0-434d-8886-82723372b31e,1.190122
scripps-loh-map-1,zen-02079132-997b-4187-a7f2-45e35773a335,0.857085
scripps-loh-map-1,zen-0228a04e-9f7c-406c-b7b7-a51780276352,1.190122
scripps-loh-map-1,zen-023269e2-dbfd-4577-b52c-67b9a1aba039,0.903718
scripps-loh-map-1,zen-02391081-50fa-42f5-b0f9-8840fba82c83,1.190122
scripps-loh-map-1,zen-023be04d-49b2-4820-977a-6f39d1301672,1.193205
scripps-loh-map-1,zen-024bfff4-0b6f-4299-9b6a-39382889a9c0,0.838449
scripps-loh-map-1,zen-026c8273-073c-4478-a3f9-d655c2633311,1.193205
scripps-loh-map-1,zen-02726e81-e743-4f1c-8a1b-78739adaddb5,0.879811
scripps-loh-map-1,zen-027ebae3-3dec-4deb-8a57-5c205db173eb,0.879811
scripps-loh-map-1,zen-0286fb9a-db9e-4b9e-a4fd-b26b21f274f9,0.927013
scripps-loh-map-1,zen-028edfbc-7762-450f-9899-4e44cf7e2715,1.193205
scripps-loh-map-1,zen-0295b985-b337-457e-9bc7-2bf3f402143b,0.838449
scripps-loh-map-1,zen-029923a6-f3f0-4f3c-b09a-3d3eca1df614,0.931036
scripps-loh-map-1,zen-02a12e27-27c4-4de6-a7e6-017d96a55b76,0.643129
scripps-loh-map-1,zen-02a2d9ab-ce71-4497-845f-f5aaf42bf3e3,0.819199
scripps-loh-map-1,zen-02a48645-d631-4e47-a987-52d38beb9337,0.903718
scripps-loh-map-1,zen-02a52b5a-2c44-4503-84a4-a49b83f3fb55,0.957541
scripps-loh-map-1,zen-02acefb3-f636-47c3-8866-e2ae9c7f4929,0.879811
scripps-loh-map-1,zen-02bfadca-52e4-4a4e-b653-295accd6bc08,1.242246
scripps-loh-map-1,zen-02c90f88-79e0-4e91-a887-8a3221e1deaf,0.879811
scripps-loh-map-1,zen-02e7f070-96e5-4485-bd3d-87a645650aa2,0.903718
scripps-loh-map-1,zen-02ee2da1-ae11-4a81-92c8-76cae2d246fe,0.800396
scripps-loh-map-1,zen-02f23b36-c228-47cb-a32e-df675c6f4a84,0.838449
scripps-loh-map-1,zen-02f53923-2817-419b-8217-f1a21c26b3b1,0.857085
scripps-loh-map-1,zen-031f2354-93ce-44e8-9310-334f328739ba,0.857085
scripps-loh-map-1,zen-03327dbe-3f20-436e-9e4f-1f17ebd3efd0,0.819199
scripps-loh-map-1,zen-03380372-2c61-4b01-8c67-9dab2d0e9394,0.879811
scripps-loh-map-1,zen-033e86f0-16b8-4b32-8bd1-f6e8dd22acb1,1.242246
scripps-loh-map-1,zen-03447877-b063-4796-8cc2-da2e0bea248f,0.879811
scripps-loh-map-1,zen-03546734-7553-452a-ae9d-dedca89f6d8d,1.190122
scripps-loh-map-1,zen-03644b2f-94ff-4a0d-a292-f3b44267210f,0.879811
scripps-loh-map-1,zen-036df8dd-3b03-48a9-a51b-ddf25733b3a6,1.190122
scripps-loh-map-1,zen-03768f6b-f95e-4f9b-ab64-cef256034e52,0.903718
scripps-loh-map-1,zen-038c1362-289d-466b-a690-68cb4ff312f6,0.819199
scripps-loh-map-1,zen-0392c17d-4ecd-4200-b65c-3e454897a78e,0.857085
scripps-loh-map-1,zen-03a2d638-e4bc-402d-b1be-1238308ad8f5,0.857085
scripps-loh-map-1,zen-03abe79b-3f4c-4908-b348-806040a22fa4,0.995935
scripps-loh-map-1,zen-03c4cc8a-6267-42ec-bf7b-c27689423d0b,0.879811
scripps-loh-map-1,zen-03c9b985-4f6f-4a67-a5bc-0a814d107757,0.957541
scripps-loh-map-1,zen-03ce0345-d2a5-4891-a595-936a01a5f163,1.193205
scripps-loh-map-1,zen-03cf175c-0b7e-44fd-970e-aca66b86d701,1.242246
scripps-loh-map-1,zen-03d69024-5673-46c8-8039-a8f6fff5afa1,0.819199
scripps-loh-map-1,zen-03d693b4-15b1-451d-ad45-786384a6001e,0.879811
scripps-loh-map-1,zen-03d761f3-fad3-4954-82f8-dcfd07b30622,1.242246
scripps-loh-map-1,zen-03dd154c-8173-45da-a9a5-0a9efcad491f,0.838449
scripps-loh-map-1,zen-03e10c5c-f0a3-47d2-b49f-96fe08869042,1.242246
scripps-loh-map-1,zen-03e3cfb4-1502-44f1-8872-20dfd5d44d01,0.800396
scripps-loh-map-1,zen-03f2e529-767d-4a1b-bb0e-133e7c2129f1,1.190122
scripps-loh-map-1,zen-04094176-8ba4-4774-9162-40013f77acd0,0.800396
scripps-loh-map-1,zen-0422992d-7421-45b7-b4d2-dac4aa2a49a1,1.190122
scripps-loh-map-1,zen-04314ddc-de19-4abd-99f3-0961d9a78315,0.800396
scripps-loh-map-1,zen-04394720-e8f3-40be-a8fb-15f9960ba1c6,0.857085
scripps-loh-map-1,zen-043c4709-ae58-4dde-8af6-1f9accec6ff6,0.838449
scripps-loh-map-1,zen-044c03f5-5752-4a9e-aba9-dde834ea243f,1.190122
scripps-loh-map-1,zen-045c1c89-df05-4c81-a266-78d76d31b732,0.857085
scripps-loh-map-1,zen-045f14b4-7e7b-4edf-99b1-1021d3896379,0.857085
scripps-loh-map-1,zen-0468f809-6512-4fa2-b2d8-cb1dc4ca39b0,0.879811
scripps-loh-map-1,zen-0471b515-478d-40cc-b69f-d503348a5012,0.857085
scripps-loh-map-1,zen-0477b748-d4a4-45fd-9468-c1bde096cb40,1.193205
scripps-loh-map-1,zen-0478bf77-bd6b-4d68-951d-470a38df85f2,0.800396
scripps-loh-map-1,zen-047d08d5-1ff1-4206-9286-58f7c891ec2f,1.190122
scripps-loh-map-1,zen-04960abd-e7ae-4b48-bc1c-7dff8a4e52b2,0.857085
scripps-loh-map-1,zen-049cd079-9de0-4522-87ca-822ac734616e,0.927013
scripps-loh-map-1,zen-04a8ab6d-4141-470a-baf0-d4e2d1856a83,0.819199
scripps-loh-map-1,zen-04b4c3cd-a6f7-471f-a55a-249f829c581d,0.903718
scripps-loh-map-1,zen-04b69145-81ba-4412-be04-581d342940ea,0.879811
scripps-loh-map-1,zen-04cd63cc-8175-431d-9602-74fa37b0636e,1.190122
scripps-loh-map-1,zen-04d8d3e1-a281-4538-a874-b14660d6e7e5,0.903718
scripps-loh-map-1,zen-04e27218-03a0-4aa5-bb02-7cc06a24489f,0.927013
scripps-loh-map-1,zen-04edea72-88e4-48f5-97b5-8b44596e566e,0.857085
scripps-loh-map-1,zen-05104b70-d8c4-4c22-a866-1390a707af37,0.857085
scripps-loh-map-1,zen-0515474c-7a65-49cb-9dcf-fb70f62e5c72,0.931036
scripps-loh-map-1,zen-0519a116-5c77-4062-84aa-b142873599b6,0.819199
scripps-loh-map-1,zen-0522d1b8-13fa-4b13-9ad0-b42736284300,1.193205
scripps-loh-map-1,zen-05248ddb-19e3-4418-8959-23f777b1613a,0.819199
scripps-loh-map-1,zen-05262d37-4150-4710-bc84-ab02e05ee8eb,0.957541
scripps-loh-map-1,zen-05281275-fb62-4659-b3cc-e7175f0396e8,1.242246
scripps-loh-map-1,zen-0534b253-484a-4a13-96a5-a437452aa1b1,0.931036
scripps-loh-map-1,zen-05355af1-e03d-4b8d-86a7-3f5c0f1ffbba,0.838449
scripps-loh-map-1,zen-05356590-efe5-4b95-a092-23c48363f1fc,0.857085
scripps-loh-map-1,zen-6b629033-b9e5-44e3-89d1-cfa63dc796c3,1.193205
scripps-loh-map-1,zen-0541f035-a1a3-4b86-854f-bb478ff9f412,0.838449
scripps-loh-map-1,zen-0543f309-375b-4406-82cd-33c3460cca5b,0.927013
scripps-loh-map-1,zen-0548ebde-4903-45e8-8897-12171df7aa7e,0.819199
scripps-loh-map-1,zen-0559eed6-8365-43e5-85a2-d724e286681a,1.190122
scripps-loh-map-1,zen-055a4429-85a3-49ff-8f67-32f119bd389e,0.857085
scripps-loh-map-1,zen-055a749d-812a-44e5-b87f-96226aa624cc,1.242246
scripps-loh-map-1,zen-056f90c9-df31-45b4-828d-64ec33699275,1.242246
scripps-loh-map-1,zen-21a4d3a9-1a26-4e29-956e-306d8aeef216,0.879811
scripps-loh-map-1,zen-05872cd0-07b7-4a70-8f47-b57d288549df,0.800396
scripps-loh-map-1,zen-058c600a-6f6a-49d6-9786-af26a5291a95,0.819199
scripps-loh-map-1,zen-05a4db5f-cce1-40ee-b136-fe9adc636a3e,1.193205
scripps-loh-map-1,zen-05a60c25-07ca-4852-a29c-8579d95285f7,0.800396
scripps-loh-map-1,zen-05ac2752-e5e0-4510-a073-9e3075c57449,0.800396
scripps-loh-map-1,zen-05b16e09-5ad0-4fe6-a3c0-707888f31795,1.242246
scripps-loh-map-1,zen-05bce5ce-e158-4c99-9b88-224255cef8f0,1.190122
scripps-loh-map-1,zen-05d3a5af-0381-40c8-904e-e357c5b5a9bc,0.857085
scripps-loh-map-1,zen-05d9d2bd-2795-47cc-923f-9da5fc9ba3b9,0.879811
scripps-loh-map-1,zen-05e0ab0f-af21-42fb-871c-17039ed141ea,1.193205
scripps-loh-map-1,zen-05ee53d8-1e97-4325-9404-a07e96ed240c,0.879811
scripps-loh-map-1,zen-05f870ac-05f5-482e-b32a-d7ee5963b2c1,0.857085
scripps-loh-map-1,zen-0600b5ae-a2bd-464c-9177-31be932da421,1.190122
scripps-loh-map-1,zen-062c5788-d25a-42f4-b252-80be434bf3cd,0.931036
scripps-loh-map-1,zen-0630aabb-8ea3-43d6-8465-a6ec7c9b87cd,0.903718
scripps-loh-map-1,zen-06354e84-cc34-4678-90d1-47746d1a359c,0.931036
scripps-loh-map-1,zen-06553629-01a1-4d65-88ed-946c4212a3c7,0.857085
scripps-loh-map-1,zen-065db333-ab64-419d-8262-bccf20da8282,1.193205
scripps-loh-map-1,zen-06607c24-a34c-4666-961f-ff3fc39a3bf3,1.190122
scripps-loh-map-1,zen-0663fe2c-ec42-4c5a-972c-8c4549432f48,0.879811
scripps-loh-map-1,zen-d281ebc0-f13e-4272-969d-fa5f3cffe188,0.774366
scripps-loh-map-1,zen-0664542d-1574-46e4-9709-0ab5d6bf2811,0.857085
scripps-loh-map-1,zen-06695633-6580-4599-bd67-abe24f16079d,1.242246
scripps-loh-map-1,zen-066d4d7f-6608-4e98-8cfa-0d2dc27d4f3c,1.190122
scripps-loh-map-1,zen-0675462c-1905-4d29-9d5c-dec4a54c60e3,0.857085
scripps-loh-map-1,zen-0676595c-7ce3-4044-b9ea-ca2c05f05929,0.879811
scripps-loh-map-1,zen-0679ffb4-d5ed-40a8-8c1e-14bc7bb3c9e7,1.193205
scripps-loh-map-1,zen-067c67f6-03b8-4ae9-b446-f1e613008fa4,0.800396
scripps-loh-map-1,zen-068c1d73-1a9b-4bd5-b7bf-bf2194940420,0.879811
scripps-loh-map-1,zen-068d96b4-c52c-4b9b-b3c1-891e4bf0d4f5,1.190122
scripps-loh-map-1,zen-0691edf7-8e37-415e-bf0d-7cfefbb9f1b7,0.857085
scripps-loh-map-1,zen-0693375b-81e6-4e00-814c-8481d08ee13b,1.193205
scripps-loh-map-1,zen-06a45c66-46e5-4143-bcb1-78c49d5d1a83,0.879811
scripps-loh-map-1,zen-06a8f006-d122-4a01-ba2e-ca6814d6fd8d,1.193205
scripps-loh-map-1,zen-06a9a945-7d11-4985-a8f9-2e78849de0fb,0.857085
scripps-loh-map-1,zen-06aa9ed7-9021-4f7a-8885-9b9ad3eb682e,0.879811
scripps-loh-map-1,zen-06ae169c-8ce6-4721-99ec-9e19884e3cf9,1.190122
scripps-loh-map-1,zen-06b91f86-5bf8-4786-ac83-c79ee667a73e,0.879811
scripps-loh-map-1,zen-06bc8882-8473-46ea-8604-b13e0203b4dc,0.927013
scripps-loh-map-1,zen-06c6902a-14cd-4248-af85-d6f60aa241bc,0.903718
scripps-loh-map-1,zen-06ec0882-3db6-4668-a2f7-fa490448243f,0.879811
scripps-loh-map-1,zen-06f1d159-3b57-40a1-99e6-2494e001455d,0.927013
scripps-loh-map-1,zen-06f20b2c-73c5-42eb-b7b2-4e6ec7265cd8,0.957541
scripps-loh-map-1,zen-06f41da3-358a-403f-9254-83a0978671f2,1.193205
scripps-loh-map-1,zen-06fc3b00-3d10-4f84-a3ca-02055ba1b527,0.879811
scripps-loh-map-1,zen-07012b28-ae15-4ca3-9899-e61cb8f5c01f,1.190122
scripps-loh-map-1,zen-070802ef-1fc0-4367-a6aa-356e5ec8a5d8,0.838449
scripps-loh-map-1,zen-07215abf-9e8a-493a-b07b-2a6f752adb97,0.857085
scripps-loh-map-1,zen-073251c0-397a-4516-b2ca-2fc1c479e137,1.190122
scripps-loh-map-1,zen-073b3aa4-a57e-4b32-834a-d6ef02cb09e4,1.242246
scripps-loh-map-1,zen-1038d926-0cba-4461-9b7a-bf95924718e8,1.242246
scripps-loh-map-1,zen-073c36ae-3d77-485e-8a36-9173448b5404,0.857085
scripps-loh-map-1,zen-0754b6a2-04d9-464e-88c4-3944a9b1674e,0.819199
scripps-loh-map-1,zen-0761ccd3-a259-4a8d-8d4a-723272beda57,0.857085
scripps-loh-map-1,zen-0777d2eb-0825-43fd-ac4a-45487593a751,0.857085
scripps-loh-map-1,zen-077a0bee-ec15-4551-ae5d-91afd6a4b9ab,0.927013
scripps-loh-map-1,zen-077daf77-8b6d-4589-903c-efaacccfd1a8,0.857085
scripps-loh-map-1,zen-07841d0f-6aea-4eb0-a573-061980d5cc7e,0.819199
scripps-loh-map-1,zen-0785ca57-920c-40a2-8757-2cefef3153e1,0.857085
scripps-loh-map-1,zen-07af13e4-f72c-4f8b-b7e6-007f333a4e2d,0.903718
scripps-loh-map-1,zen-07b3ebf9-1361-4be6-93ed-6c2671ea7854,0.927013
scripps-loh-map-1,zen-07bcd500-a122-4425-8cd4-33bbc0fd3eb9,0.857085
scripps-loh-map-1,zen-07be5820-f5f0-42c7-873f-fd8e9917dcf5,0.927013
scripps-loh-map-1,zen-07cb00ff-ccc8-49cf-ac15-c6f7a055d3c5,0.857085
scripps-loh-map-1,zen-07cfcf48-d0e2-4d0e-8ea8-d23746acbeb5,1.242246
scripps-loh-map-1,zen-07d8f7f9-2c5e-4e36-9a7a-13b4686cad86,0.879811
scripps-loh-map-1,zen-07da7710-1d90-4fae-8653-2639c593a78e,1.190122
scripps-loh-map-1,zen-07e8eb05-7369-4cd3-9111-fbfe48aa45ba,0.857085
scripps-loh-map-1,zen-07f86688-d8a5-4504-b526-a9643f4f97ba,0.879811
scripps-loh-map-1,zen-081dfce4-8b6c-45bd-8a18-b3f8425b4236,1.242246
scripps-loh-map-1,zen-0823035b-4adf-434b-a429-4ea2e08c60cd,0.857085
scripps-loh-map-1,zen-082f3ca6-816a-475f-9a17-1312e9db636f,1.242246
scripps-loh-map-1,zen-0838f0e6-383d-4e8e-8302-7f6e4fec8b49,0.819199
scripps-loh-map-1,zen-0841dd27-dc97-4c46-85e4-d00c3902a646,0.857085
scripps-loh-map-1,zen-0849452b-06e5-4975-9167-cbc4aff1e812,0.903718
scripps-loh-map-1,zen-0852c050-ab7e-4b11-8f14-d400537fd68a,0.857085
scripps-loh-map-1,zen-08542bd1-4bd0-45cd-a527-2aee13cb5c2a,1.242246
scripps-loh-map-1,zen-efc02ac6-aed5-471b-9f1b-943e2fb9147b,1.242246
scripps-loh-map-1,zen-0855b339-4b4e-44d0-85c6-75ef846a7508,0.927013
scripps-loh-map-1,zen-085f33e4-f270-4fd8-b6ec-ba05d10191a6,0.800396
scripps-loh-map-1,zen-0877c75a-f387-46b2-9fea-975bb5dc5f31,0.857085
scripps-loh-map-1,zen-087cf82a-6935-4f1b-9b9c-02211f120e0d,0.857085
scripps-loh-map-1,zen-0881bb07-1228-44dc-8711-6686bb5c6f77,1.190122
scripps-loh-map-1,zen-08825dd9-165d-467a-a108-ab377a08a7c4,0.879811
scripps-loh-map-1,zen-088319c2-3d50-4c5c-a509-418c4046a537,0.957541
scripps-loh-map-1,zen-08935273-b46e-4b6a-a003-4c3b1247937f,0.857085
scripps-loh-map-1,zen-089a2593-791d-489f-8ef9-37c8fe3678b5,0.927013
scripps-loh-map-1,zen-089aa2e9-ac6c-42f1-a3ba-53c08be6f924,0.857085
scripps-loh-map-1,zen-08a78a00-ead4-4721-8ef3-086458a7d4b7,0.957541
scripps-loh-map-1,zen-08bf4871-7ec9-496b-b79c-279f29036de6,1.193205
scripps-loh-map-1,zen-08c5db4a-4a80-43ae-bb99-d611e1996308,1.190122
scripps-loh-map-1,zen-08d6b682-c41f-46d5-8277-8365208f0dac,0.857085
scripps-loh-map-1,zen-08d7552c-6f79-4f1d-b545-c6e8bb7d5d5b,1.242246
scripps-loh-map-1,zen-08db0c8d-4a43-4db9-b5b6-1fa20ceb5814,1.242246
scripps-loh-map-1,zen-08dc92a9-45bc-4df7-9153-9cba30b59890,1.193205
scripps-loh-map-1,zen-08ea333d-917f-4543-ab24-01b65702ab96,1.190122
scripps-loh-map-1,zen-08edca68-a35c-4e7c-902d-e536fba4a4b8,0.857085
scripps-loh-map-1,zen-08eec200-8b78-498c-a488-288585eab1a2,0.838449
scripps-loh-map-1,zen-090f5761-8d39-45ed-add3-d0efefcac6bb,0.857085
scripps-loh-map-1,zen-0912f975-2435-42ab-9a9c-2f7cc4b13426,1.190122
scripps-loh-map-1,zen-092a8ee4-7c69-42ff-bf18-b33ba8fea919,0.800396
scripps-loh-map-1,zen-0933a35d-6742-4d9f-abcf-beab1de408ca,0.879811
scripps-loh-map-1,zen-0940e9f8-95bb-48f5-97fe-3aff4f406ae3,0.857085
scripps-loh-map-1,zen-e1958515-1166-4e15-b8b0-f2381f9fbe9f,1.193205
scripps-loh-map-1,zen-0947eea2-a137-459a-be13-ca490d029f26,1.190122
scripps-loh-map-1,zen-095d76d6-fc98-4d7f-9034-16c6e92986dd,1.193205
scripps-loh-map-1,zen-095fd9bc-0297-4ff0-b5a5-eb50f543ac4e,0.957541
scripps-loh-map-1,zen-09646410-947c-47a6-9fd4-94d6c78d36e3,0.903718
scripps-loh-map-1,zen-09650241-c857-4cd6-9a07-d9e2fac62656,1.242246
scripps-loh-map-1,zen-097054fc-1028-4881-aeed-416e99c5b736,1.190122
scripps-loh-map-1,zen-0978fb4e-c922-4b58-8a5e-513645e843dc,0.838449
scripps-loh-map-1,zen-098f6f40-3560-4436-93f9-b0b1b07ee174,1.190122
scripps-loh-map-1,zen-09a4adc8-e748-42b4-a960-7086cf8b3ee4,0.879811
scripps-loh-map-1,zen-09ba182c-9e41-4614-8c48-aa0c647af25f,0.819199
scripps-loh-map-1,zen-09c20e65-8160-464d-ac8b-238c233c1c53,0.838449
scripps-loh-map-1,zen-09c970d7-fae4-41c1-b77a-e663dd412fc5,0.857085
scripps-loh-map-1,zen-09d26ae5-6cef-4290-9323-e5604a2460f6,0.879811
scripps-loh-map-1,zen-09fc7edc-4e6b-4f0f-9cf9-0b9a2452d015,1.190122
scripps-loh-map-1,zen-0a0185d3-f535-4a3a-a4bc-7012f2d273c3,0.927013
scripps-loh-map-1,zen-0a0c63a2-0d31-4e69-ae2f-4ebd7ba58108,0.879811
scripps-loh-map-1,zen-0a2671d3-e343-49d2-8b97-2697d365c297,0.838449
scripps-loh-map-1,zen-0a2e8683-d928-48bc-a8ac-6cdcf8c09ba9,1.190122
scripps-loh-map-1,zen-0a422c9a-0dd6-432b-8f00-28a3417de34a,0.857085
scripps-loh-map-1,zen-0a4df2f9-136a-425b-90f4-f2bdd06be229,0.838449
scripps-loh-map-1,zen-0a5a9efb-2733-4716-81a3-75717200e7e9,1.242246
scripps-loh-map-1,zen-0a5fb056-5379-4264-afcb-e1c1bbd341c3,0.957541
scripps-loh-map-1,zen-0a65e29a-53e6-489e-8bc5-7456b86765e0,0.927013
scripps-loh-map-1,zen-0a7dbd05-5e20-4dca-bf02-51bc53a8ad3b,0.857085
scripps-loh-map-1,zen-0a863ba7-4b5c-475b-b4d7-fc363aff2f0c,1.190122
scripps-loh-map-1,zen-0a864c79-0e06-473b-bc99-f22652d904e5,0.857085
scripps-loh-map-1,zen-0a8a8304-8d30-4a97-8ba1-1f494c42ec8e,0.838449
scripps-loh-map-1,zen-0aa216cf-cf14-4cfe-9b09-673949d1aee6,1.242246
scripps-loh-map-1,zen-0aa717e9-b980-4c71-a30c-73895d2c1265,0.957541
scripps-loh-map-1,zen-0aaa4e7a-68fb-4cfc-adea-dccf75133151,0.633563
scripps-loh-map-1,zen-0ab8055e-511b-48e8-802e-72c4c4ce824f,0.879811
scripps-loh-map-1,zen-0abaa47f-0bfd-4682-82ec-0765b5b2e642,0.879811
scripps-loh-map-1,zen-0aca18e0-f73d-4b1c-b309-a3cddbaef827,0.857085
scripps-loh-map-1,zen-0ad18379-7da8-4588-b55f-16ddf4703342,0.857085
scripps-loh-map-1,zen-0ad43b5d-4f38-41a0-a5b4-3998b4bec855,0.819199
scripps-loh-map-1,zen-0ae0b856-ae9c-42aa-a876-33708cfae4e0,0.819199
scripps-loh-map-1,zen-0ae0faa3-9d68-4f90-b260-3f7d8844aa00,0.879811
scripps-loh-map-1,zen-0ae60952-9e65-4eb3-82f7-b505d0375192,1.193205
scripps-loh-map-1,zen-0af986c9-337f-42b3-853a-cd84843028ad,0.857085
scripps-loh-map-1,zen-0afa8cc7-a1ba-4e1e-88ad-a753eec6c089,1.193205
scripps-loh-map-1,zen-0aff772d-7281-4fa4-9a0e-0b43d7dea074,1.242246
scripps-loh-map-1,zen-0b01f437-3d7f-4a5d-b1c8-e3829e695b7b,1.190122
scripps-loh-map-1,zen-0b17433e-da6c-4c55-8239-e41d605912a6,0.995935
scripps-loh-map-1,zen-0b240280-e1fa-4307-a2d7-5ce3dbdd6138,1.190122
scripps-loh-map-1,zen-0b2ebd3a-d72f-46c8-b6d9-0e447ffef661,1.190122
scripps-loh-map-1,zen-0b38b5e8-306d-46c8-be46-32ffd0f46dcd,0.838449
